subscription_id,customer_id,plan_id,subscription_start_date,subscription_end_date,subscription_status,auto_renew,cancellation_date,cancellation_reason,monthly_price
SUB0000047,CUST000045,PLAN02,2022-09-11,,Active,True,,,15.49
SUB0000048,CUST000046,PLAN01,2022-05-30,,Cancelled,True,2026-04-21,Household budget cuts,6.99
SUB0000049,CUST000047,PLAN03,2021-04-19,2022-06-11,Plan Changed,True,,,6.99
SUB0000050,CUST000047,PLAN01,2022-06-11,,Active,True,,,6.99
SUB0000051,CUST000048,PLAN01,2025-06-15,,Active,True,,,6.99
SUB0000052,CUST000049,PLAN01,2025-05-12,,Active,True,,,6.99
SUB0000053,CUST000050,PLAN02,2020-07-30,,Active,True,,,15.49
SUB0000054,CUST000051,PLAN02,2022-08-13,2024-06-30,Plan Changed,True,,,15.49
SUB0000055,CUST000051,PLAN02,2024-06-30,,Active,True,,,15.49
SUB0000056,CUST000052,PLAN02,2022-04-07,,Active,True,,,15.49
SUB0000057,CUST000053,PLAN01,2019-01-21,,Cancelled,True,2025-10-30,Content quality decline,6.99
SUB0000058,CUST000054,PLAN03,2023-07-31,2026-04-03,Plan Changed,True,,,22.99
SUB0000059,CUST000054,PLAN03,2026-04-03,,Active,True,,,22.99
SUB0000060,CUST000055,PLAN02,2019-10-11,2022-05-14,Plan Changed,True,,,6.99
SUB0000061,CUST000055,PLAN01,2022-05-14,,Cancelled,True,2026-01-31,Technical issues,6.99
SUB0000062,CUST000056,PLAN01,2020-09-18,,Active,True,,,6.99
SUB0000063,CUST000057,PLAN01,2019-02-28,,Cancelled,False,2025-10-16,Too expensive,6.99
SUB0000064,CUST000058,PLAN01,2025-12-02,,Active,True,,,6.99
SUB0000065,CUST000059,PLAN01,2024-04-03,,Cancelled,True,2025-12-05,Found alternative platform,6.99
SUB0000066,CUST000060,PLAN02,2021-12-30,,Active,True,,,15.49
SUB0000067,CUST000061,PLAN01,2025-05-25,,Active,True,,,6.99
SUB0000068,CUST000062,PLAN01,2024-10-15,,Active,True,,,6.99
SUB0000069,CUST000063,PLAN01,2024-04-03,,Active,True,,,6.99
SUB0000070,CUST000064,PLAN02,2020-06-30,2026-05-23,Plan Changed,True,,,6.99
SUB0000071,CUST000064,PLAN01,2026-05-23,,Active,True,,,6.99
SUB0000072,CUST000065,PLAN02,2022-07-19,,Cancelled,True,2026-02-25,Poor customer service experience,15.49
SUB0000073,CUST000066,PLAN03,2025-08-27,,Cancelled,False,2026-06-09,Content quality decline,22.99
SUB0000074,CUST000067,PLAN01,2020-11-17,,Cancelled,True,2025-11-07,Household budget cuts,6.99
SUB0000075,CUST000068,PLAN02,2021-01-08,,Cancelled,True,2026-04-29,Technical issues,15.49
SUB0000076,CUST000069,PLAN03,2024-09-23,,Active,False,,,22.99
SUB0000077,CUST000070,PLAN03,2025-08-11,,Active,True,,,22.99
SUB0000078,CUST000071,PLAN03,2019-07-01,,Active,False,,,22.99
SUB0000079,CUST000072,PLAN02,2020-02-20,2025-08-18,Plan Changed,True,,,6.99
SUB0000080,CUST000072,PLAN01,2025-08-18,,Active,True,,,6.99
SUB0000081,CUST000073,PLAN02,2021-06-30,,Active,True,,,15.49
SUB0000082,CUST000074,PLAN02,2020-09-16,,Cancelled,True,2025-12-20,Not enough content,15.49
SUB0000083,CUST000075,PLAN02,2024-01-19,,Active,True,,,15.49
SUB0000084,CUST000076,PLAN01,2023-09-30,,Active,True,,,6.99
SUB0000085,CUST000077,PLAN02,2023-02-08,,Active,False,,,15.49
SUB0000086,CUST000078,PLAN01,2022-09-19,,Active,True,,,6.99
SUB0000087,CUST000079,PLAN02,2025-07-16,,Active,False,,,15.49
SUB0000088,CUST000080,PLAN01,2025-02-09,,Active,True,,,6.99
SUB0000089,CUST000081,PLAN01,2023-07-15,,Cancelled,False,2025-12-17,Found alternative platform,6.99
SUB0000090,CUST000082,PLAN02,2025-04-22,,Cancelled,True,2025-10-16,Not enough content,15.49
SUB0000091,CUST000083,PLAN02,2020-09-12,,Active,True,,,15.49
SUB0000092,CUST000084,PLAN01,2023-08-29,,Active,True,,,6.99
SUB0000093,CUST000085,PLAN01,2022-01-05,2024-12-02,Plan Changed,True,,,22.99
SUB0000094,CUST000085,PLAN03,2024-12-02,,Active,True,,,22.99
SUB0000095,CUST000086,PLAN01,2025-11-21,,Active,True,,,6.99
SUB0000096,CUST000087,PLAN02,2023-11-14,2024-02-19,Plan Changed,True,,,15.49
SUB0000097,CUST000087,PLAN02,2024-02-19,,Active,True,,,15.49
SUB0000098,CUST000088,PLAN02,2022-12-29,,Active,True,,,15.49
SUB0000099,CUST000089,PLAN02,2019-01-11,,Active,True,,,15.49
SUB0000100,CUST000090,PLAN01,2024-12-24,,Active,True,,,6.99
SUB0000101,CUST000091,PLAN01,2025-07-04,,Active,False,,,6.99
SUB0000102,CUST000092,PLAN01,2025-07-16,,Cancelled,True,2026-03-01,Too expensive,6.99
SUB0000103,CUST000093,PLAN01,2019-12-18,,Cancelled,True,2026-01-20,No longer needed,6.99
SUB0000104,CUST000094,PLAN02,2019-07-05,,Active,False,,,15.49
SUB0000105,CUST000095,PLAN02,2026-05-13,,Active,True,,,15.49
SUB0000106,CUST000096,PLAN01,2019-03-19,,Cancelled,True,2025-10-23,Password sharing crackdown,6.99
SUB0000107,CUST000097,PLAN01,2020-01-26,2022-07-14,Plan Changed,True,,,6.99
SUB0000108,CUST000097,PLAN01,2022-07-14,,Active,True,,,6.99
SUB0000109,CUST000098,PLAN02,2021-01-24,,Active,True,,,15.49
SUB0000110,CUST000099,PLAN02,2025-06-16,,Cancelled,True,2026-03-02,Found alternative platform,15.49
SUB0000111,CUST000100,PLAN01,2022-09-27,,Active,True,,,6.99
SUB0000112,CUST000101,PLAN02,2025-07-17,,Active,True,,,15.49
SUB0000113,CUST000102,PLAN01,2022-12-30,,Active,True,,,6.99
SUB0000114,CUST000103,PLAN02,2021-10-05,,Active,True,,,15.49
SUB0000115,CUST000104,PLAN02,2022-01-14,2023-08-04,Plan Changed,True,,,15.49
SUB0000116,CUST000104,PLAN02,2023-08-04,,Cancelled,True,2025-10-27,Technical issues,15.49
SUB0000117,CUST000105,PLAN01,2021-10-20,,Active,False,,,6.99
SUB0000118,CUST000106,PLAN01,2026-01-05,,Active,True,,,6.99
SUB0000119,CUST000107,PLAN02,2020-08-25,,Active,True,,,15.49
SUB0000120,CUST000108,PLAN03,2023-06-01,,Cancelled,False,2026-03-20,Too expensive,22.99
SUB0000121,CUST000109,PLAN01,2020-01-26,,Active,True,,,6.99
SUB0000122,CUST000110,PLAN03,2025-08-22,,Cancelled,True,2026-02-25,Found alternative platform,22.99
SUB0000123,CUST000111,PLAN02,2025-09-14,,Cancelled,False,2026-06-13,Too expensive,15.49
SUB0000124,CUST000112,PLAN01,2021-01-13,,Active,False,,,6.99
SUB0000125,CUST000113,PLAN03,2020-03-05,2026-04-18,Plan Changed,True,,,6.99
SUB0000126,CUST000113,PLAN01,2026-04-18,,Cancelled,True,,Poor customer service experience,6.99
SUB0000127,CUST000114,PLAN02,2021-08-06,,Cancelled,True,2026-02-27,Poor customer service experience,15.49
SUB0000128,CUST000115,PLAN01,2019-12-29,,Active,True,,,6.99
SUB0000129,CUST000116,PLAN02,2019-04-13,,Active,True,,,15.49
SUB0000130,CUST000117,PLAN02,2025-12-17,,Active,True,,,15.49
SUB0000131,CUST000118,PLAN01,2021-03-19,,Active,False,,,6.99
SUB0000132,CUST000119,PLAN01,2019-12-20,,Cancelled,True,2026-02-27,Found alternative platform,6.99
SUB0000133,CUST000120,PLAN01,2024-11-03,,Active,False,,,6.99
SUB0000134,CUST000121,PLAN02,2024-09-20,,Active,True,,,15.49
SUB0000135,CUST000122,PLAN02,2020-05-15,,Active,True,,,15.49
SUB0000136,CUST000123,PLAN03,2023-05-11,,Active,True,,,22.99
SUB0000137,CUST000124,PLAN01,2024-03-25,,Active,True,,,6.99
SUB0000138,CUST000125,PLAN02,2023-11-08,,Cancelled,False,2025-11-17,Too expensive,15.49
SUB0000139,CUST000126,PLAN01,2023-07-18,,Cancelled,True,2025-10-11,Too expensive,6.99
SUB0000140,CUST000127,PLAN03,2021-01-07,,Active,False,,,22.99
SUB0000141,CUST000128,PLAN02,2024-06-13,,Active,True,,,15.49
SUB0000142,CUST000129,PLAN02,2025-01-04,,Active,False,,,15.49
SUB0000143,CUST000130,PLAN03,2021-07-23,,Active,True,,,22.99
SUB0000144,CUST000131,PLAN01,2019-02-01,,Active,True,,,6.99
SUB0000145,CUST000132,PLAN02,2019-10-26,2023-01-07,Plan Changed,True,,,6.99
SUB0000146,CUST000132,PLAN01,2023-01-07,,Cancelled,True,2026-01-19,Found alternative platform,6.99
SUB0000147,CUST000133,PLAN01,2026-05-10,,Cancelled,False,2026-06-25,Poor customer service experience,6.99
SUB0000148,CUST000134,PLAN02,2021-06-28,,Active,True,,,15.49
SUB0000149,CUST000135,PLAN02,2021-10-23,,Active,True,,,15.49
SUB0000150,CUST000136,PLAN02,2025-02-09,,Active,True,,,15.49
SUB0000151,CUST000137,PLAN02,2023-03-26,,Cancelled,False,2026-01-10,Found alternative platform,15.49
SUB0000152,CUST000138,PLAN01,2023-09-10,,Cancelled,False,2025-11-09,Not enough content,6.99
SUB0000153,CUST000139,PLAN01,2022-04-26,,Active,True,,,6.99
SUB0000154,CUST000140,PLAN03,2022-05-19,,Active,True,,,22.99
SUB0000155,CUST000141,PLAN01,2025-07-23,,Cancelled,True,2026-06-01,Found alternative platform,6.99
SUB0000156,CUST000142,PLAN01,2025-09-22,,Active,True,,,6.99
SUB0000157,CUST000143,PLAN03,2025-12-03,2026-03-02,Plan Changed,False,,,15.49
SUB0000158,CUST000143,PLAN02,2026-03-02,,Cancelled,False,,Not enough content,15.49
SUB0000159,CUST000144,PLAN01,2021-09-13,,Active,True,,,6.99
SUB0000160,CUST000145,PLAN03,2020-10-04,,Active,True,,,22.99
SUB0000161,CUST000146,PLAN02,2024-06-27,,Cancelled,True,2025-12-26,Household budget cuts,15.49
SUB0000162,CUST000147,PLAN01,2024-07-09,,Active,True,,,6.99
SUB0000163,CUST000148,PLAN02,2020-07-13,,Active,True,,,15.49
SUB0000164,CUST000149,PLAN02,2025-11-23,,Cancelled,False,2026-05-20,Found alternative platform,15.49
SUB0000165,CUST000150,PLAN02,2026-04-08,,Active,True,,,15.49
SUB0000166,CUST000151,PLAN01,2020-09-30,2026-05-05,Plan Changed,True,,,15.49
SUB0000167,CUST000151,PLAN02,2026-05-05,,Active,True,,,15.49
SUB0000168,CUST000152,PLAN03,2024-06-14,,Cancelled,True,2026-03-03,Too expensive,22.99
SUB0000169,CUST000153,PLAN01,2025-10-19,,Active,True,,,6.99
SUB0000170,CUST000154,PLAN02,2021-04-28,,Active,True,,,15.49
SUB0000171,CUST000155,PLAN02,2021-04-06,,Cancelled,True,2025-12-17,Technical issues,15.49
SUB0000172,CUST000156,PLAN01,2020-11-01,,Active,True,,,6.99
SUB0000173,CUST000157,PLAN01,2021-10-16,,Active,True,,,6.99
SUB0000174,CUST000158,PLAN02,2023-02-14,,Active,True,,,15.49
SUB0000175,CUST000159,PLAN02,2023-09-24,,Active,True,,,15.49
SUB0000176,CUST000160,PLAN03,2025-06-15,,Cancelled,True,2026-03-18,Too expensive,22.99
SUB0000177,CUST000161,PLAN01,2022-03-21,,Cancelled,True,2025-12-04,Found alternative platform,6.99
SUB0000178,CUST000162,PLAN02,2020-01-19,,Active,True,,,15.49
SUB0000179,CUST000163,PLAN02,2023-12-29,,Active,True,,,15.49
SUB0000180,CUST000164,PLAN02,2019-04-21,,Active,True,,,15.49
SUB0000181,CUST000165,PLAN01,2025-06-18,,Active,True,,,6.99
SUB0000182,CUST000166,PLAN03,2023-11-17,,Cancelled,True,2026-04-19,Found alternative platform,22.99
SUB0000183,CUST000167,PLAN02,2021-05-31,2023-10-20,Plan Changed,True,,,6.99
SUB0000184,CUST000167,PLAN01,2023-10-20,,Active,True,,,6.99
SUB0000185,CUST000168,PLAN02,2024-11-15,,Active,True,,,15.49
SUB0000186,CUST000169,PLAN03,2022-01-29,,Active,True,,,22.99
SUB0000187,CUST000170,PLAN02,2024-06-17,,Active,True,,,15.49
SUB0000188,CUST000171,PLAN02,2024-06-04,2026-01-10,Plan Changed,True,,,15.49
SUB0000189,CUST000171,PLAN02,2026-01-10,,Cancelled,True,2026-05-19,Password sharing crackdown,15.49
SUB0000190,CUST000172,PLAN03,2025-06-30,,Cancelled,False,2026-02-22,Payment issues,22.99
SUB0000191,CUST000173,PLAN01,2025-08-05,,Active,True,,,6.99
SUB0000192,CUST000174,PLAN03,2026-05-25,,Active,True,,,22.99
SUB0000193,CUST000175,PLAN02,2019-01-27,,Active,True,,,15.49
SUB0000194,CUST000176,PLAN01,2020-11-05,,Active,True,,,6.99
SUB0000195,CUST000177,PLAN03,2019-02-02,2019-09-26,Plan Changed,True,,,22.99
SUB0000196,CUST000177,PLAN03,2019-09-26,,Active,True,,,22.99
SUB0000197,CUST000178,PLAN03,2022-07-30,,Active,True,,,22.99
SUB0000198,CUST000179,PLAN02,2021-03-03,2024-10-10,Plan Changed,True,,,22.99
SUB0000199,CUST000179,PLAN03,2024-10-10,,Active,True,,,22.99
SUB0000200,CUST000180,PLAN02,2020-05-07,,Cancelled,True,2026-06-04,Content quality decline,15.49
SUB0000201,CUST000181,PLAN01,2021-03-08,,Active,True,,,6.99
SUB0000202,CUST000182,PLAN01,2025-12-31,,Active,True,,,6.99
SUB0000203,CUST000183,PLAN01,2020-04-12,,Cancelled,True,2026-06-14,Too expensive,6.99
SUB0000204,CUST000184,PLAN01,2022-11-29,,Cancelled,True,2026-01-27,Not enough content,6.99
SUB0000205,CUST000185,PLAN02,2020-01-01,,Active,True,,,15.49
SUB0000206,CUST000186,PLAN03,2021-09-10,,Active,True,,,22.99
SUB0000207,CUST000187,PLAN03,2025-08-22,2026-01-17,Plan Changed,True,,,15.49
SUB0000208,CUST000187,PLAN02,2026-01-17,,Cancelled,True,2026-06-19,Moving / relocation,15.49
SUB0000209,CUST000188,PLAN01,2022-08-02,,Active,True,,,6.99
SUB0000210,CUST000189,PLAN03,2022-08-04,,Active,True,,,22.99
SUB0000211,CUST000190,PLAN01,2019-09-28,,Active,True,,,6.99
SUB0000212,CUST000191,PLAN01,2022-10-04,2023-11-11,Plan Changed,True,,,22.99
SUB0000213,CUST000191,PLAN03,2023-11-11,,Cancelled,True,2026-06-28,No longer needed,22.99
SUB0000214,CUST000192,PLAN01,2026-03-17,,Cancelled,True,2026-05-28,Content quality decline,6.99
SUB0000215,CUST000193,PLAN03,2019-01-16,,Active,True,,,22.99
SUB0000216,CUST000194,PLAN02,2021-04-10,,Active,True,,,15.49
SUB0000217,CUST000195,PLAN03,2023-07-20,,Active,True,,,22.99
SUB0000218,CUST000196,PLAN03,2023-01-04,2025-05-11,Plan Changed,False,,,22.99
SUB0000219,CUST000196,PLAN03,2025-05-11,,Active,False,,,22.99
SUB0000220,CUST000197,PLAN01,2024-01-08,,Cancelled,True,2026-02-18,Too expensive,6.99
SUB0000221,CUST000198,PLAN01,2022-07-26,,Active,True,,,6.99
SUB0000222,CUST000199,PLAN03,2024-12-19,2026-04-16,Plan Changed,True,,,6.99
SUB0000223,CUST000199,PLAN01,2026-04-16,,Active,True,,,6.99
SUB0000224,CUST000200,PLAN01,2025-08-14,2026-02-11,Plan Changed,False,,,6.99
SUB0000225,CUST000200,PLAN01,2026-02-11,,Active,False,,,6.99
SUB0000226,CUST000201,PLAN01,2021-12-08,2024-09-25,Plan Changed,True,,,6.99
SUB0000227,CUST000201,PLAN01,2024-09-25,,Active,True,,,6.99
SUB0000228,CUST000202,PLAN01,2020-02-21,,Active,True,,,6.99
SUB0000229,CUST000203,PLAN02,2021-01-12,,Active,False,,,15.49
SUB0000230,CUST000204,PLAN01,2020-12-08,,Active,True,,,6.99
SUB0000231,CUST000205,PLAN01,2026-03-14,,Cancelled,False,2026-04-05,Found alternative platform,6.99
SUB0000232,CUST000206,PLAN02,2026-03-30,,Active,False,,,15.49
SUB0000233,CUST000207,PLAN01,2024-09-06,,Active,True,,,6.99
SUB0000234,CUST000208,PLAN02,2022-05-12,,Active,True,,,15.49
SUB0000235,CUST000209,PLAN01,2025-11-03,2026-02-14,Plan Changed,True,,,22.99
SUB0000236,CUST000209,PLAN03,2026-02-14,,Active,True,,,22.99
SUB0000237,CUST000210,PLAN02,2023-01-19,,Cancelled,True,2025-12-05,Technical issues,15.49
SUB0000238,CUST000211,PLAN02,2024-03-29,,Active,True,,,15.49
SUB0000239,CUST000212,PLAN01,2022-10-04,,Active,True,,,6.99
SUB0000240,CUST000213,PLAN03,2019-09-23,,Active,True,,,22.99
SUB0000241,CUST000214,PLAN01,2020-04-02,,Active,True,,,6.99
SUB0000242,CUST000215,PLAN01,2020-03-30,,Active,True,,,6.99
SUB0000243,CUST000216,PLAN02,2025-07-22,,Active,False,,,15.49
SUB0000244,CUST000217,PLAN03,2021-02-02,,Active,True,,,22.99
SUB0000245,CUST000218,PLAN03,2020-11-14,,Active,False,,,22.99
SUB0000246,CUST000219,PLAN02,2025-05-27,,Active,True,,,15.49
SUB0000247,CUST000220,PLAN01,2025-11-26,2026-06-23,Plan Changed,True,,,22.99
SUB0000248,CUST000220,PLAN03,2026-06-23,,Active,True,,,22.99
SUB0000249,CUST000221,PLAN01,2022-06-17,,Cancelled,True,2025-12-31,Not enough content,6.99
SUB0000250,CUST000222,PLAN03,2021-10-05,2023-07-06,Plan Changed,False,,,6.99
SUB0000251,CUST000222,PLAN01,2023-07-06,,Cancelled,False,2026-04-23,Not enough content,6.99
SUB0000252,CUST000223,PLAN01,2024-11-05,,Active,False,,,6.99
SUB0000253,CUST000224,PLAN01,2020-05-01,,Active,False,,,6.99
SUB0000254,CUST000225,PLAN02,2024-09-16,,Cancelled,False,2025-12-18,Password sharing crackdown,15.49
SUB0000255,CUST000226,PLAN02,2023-12-19,,Cancelled,True,2026-03-21,No longer needed,15.49
SUB0000256,CUST000227,PLAN01,2023-03-09,,Active,True,,,6.99
SUB0000257,CUST000228,PLAN01,2026-02-26,,Active,True,,,6.99
SUB0000258,CUST000229,PLAN03,2024-02-25,,Active,False,,,22.99
SUB0000259,CUST000230,PLAN01,2019-10-21,,Active,False,,,6.99
SUB0000260,CUST000231,PLAN03,2019-05-10,,Active,False,,,22.99
SUB0000261,CUST000232,PLAN03,2026-04-10,,Cancelled,False,2026-04-11,Moving / relocation,22.99
SUB0000262,CUST000233,PLAN01,2021-11-18,,Active,True,,,6.99
SUB0000263,CUST000234,PLAN02,2022-08-06,,Cancelled,True,2026-04-13,Technical issues,15.49
SUB0000264,CUST000235,PLAN02,2025-10-16,,Active,False,,,15.49
SUB0000265,CUST000236,PLAN01,2020-08-02,,Active,True,,,6.99
SUB0000266,CUST000237,PLAN03,2025-02-08,,Cancelled,True,2026-02-03,Too expensive,22.99
SUB0000267,CUST000238,PLAN01,2022-05-02,,Active,True,,,6.99
SUB0000268,CUST000239,PLAN03,2023-03-15,2023-08-18,Plan Changed,True,,,15.49
SUB0000269,CUST000239,PLAN02,2023-08-18,,Active,True,,,15.49
SUB0000270,CUST000240,PLAN01,2023-05-07,,Active,True,,,6.99
SUB0000271,CUST000241,PLAN02,2019-11-19,,Active,True,,,15.49
SUB0000272,CUST000242,PLAN01,2019-06-28,,Cancelled,True,2026-02-24,Not enough content,6.99
SUB0000273,CUST000243,PLAN01,2024-01-03,,Cancelled,True,2026-01-08,Too expensive,6.99
SUB0000274,CUST000244,PLAN01,2025-07-10,,Active,False,,,6.99
SUB0000275,CUST000245,PLAN01,2019-02-08,2022-04-17,Plan Changed,False,,,6.99
SUB0000276,CUST000245,PLAN01,2022-04-17,,Active,False,,,6.99
SUB0000277,CUST000246,PLAN01,2022-12-14,,Active,True,,,6.99
SUB0000278,CUST000247,PLAN01,2023-05-25,,Cancelled,True,2026-04-10,Not enough content,6.99
SUB0000279,CUST000248,PLAN02,2021-03-07,,Active,False,,,15.49
SUB0000280,CUST000249,PLAN02,2025-09-29,2026-05-01,Plan Changed,True,,,15.49
SUB0000281,CUST000249,PLAN02,2026-05-01,,Active,True,,,15.49
SUB0000282,CUST000250,PLAN03,2020-09-19,,Active,True,,,22.99
SUB0000283,CUST000251,PLAN03,2022-08-14,,Active,False,,,22.99
SUB0000284,CUST000252,PLAN02,2021-02-08,,Active,True,,,15.49
SUB0000285,CUST000253,PLAN02,2021-06-10,,Active,True,,,15.49
SUB0000286,CUST000254,PLAN02,2025-06-30,,Active,True,,,15.49
SUB0000287,CUST000255,PLAN02,2023-09-11,,Cancelled,True,2025-11-08,Password sharing crackdown,15.49
SUB0000288,CUST000256,PLAN01,2021-01-08,,Active,False,,,6.99
SUB0000289,CUST000257,PLAN02,2021-01-27,,Active,True,,,15.49
SUB0000290,CUST000258,PLAN01,2020-10-06,,Active,True,,,6.99
SUB0000291,CUST000259,PLAN01,2023-09-03,,Cancelled,True,2026-02-10,Poor customer service experience,6.99
SUB0000292,CUST000260,PLAN01,2022-05-14,,Active,True,,,6.99
SUB0000293,CUST000261,PLAN02,2025-06-25,,Active,True,,,15.49
SUB0000294,CUST000262,PLAN01,2025-01-09,,Active,False,,,6.99
SUB0000295,CUST000263,PLAN02,2022-04-19,,Active,True,,,15.49
SUB0000296,CUST000264,PLAN01,2020-02-24,2021-01-27,Plan Changed,True,,,6.99
SUB0000297,CUST000264,PLAN01,2021-01-27,,Cancelled,True,2025-10-05,Household budget cuts,6.99
SUB0000298,CUST000265,PLAN03,2025-03-21,,Active,True,,,22.99
SUB0000299,CUST000266,PLAN01,2025-10-29,,Active,True,,,6.99
SUB0000300,CUST000267,PLAN02,2022-09-06,,Active,True,,,15.49
SUB0000301,CUST000268,PLAN02,2025-11-05,2026-03-02,Plan Changed,False,,,15.49
SUB0000302,CUST000268,PLAN02,2026-03-02,,Cancelled,False,,Found alternative platform,15.49
SUB0000303,CUST000269,PLAN02,2025-07-21,,Cancelled,True,2026-05-29,Too expensive,15.49
SUB0000304,CUST000270,PLAN03,2023-01-08,,Active,True,,,22.99
SUB0000305,CUST000271,PLAN02,2021-04-29,,Cancelled,True,2025-10-30,Poor customer service experience,15.49
SUB0000306,CUST000272,PLAN03,2023-08-01,,Active,False,,,22.99
SUB0000307,CUST000273,PLAN02,2022-05-16,,Active,True,,,15.49
SUB0000308,CUST000274,PLAN01,2019-10-20,,Active,True,,,6.99
SUB0000309,CUST000275,PLAN03,2019-03-31,,Active,True,,,22.99
SUB0000310,CUST000276,PLAN03,2024-06-28,,Active,False,,,22.99
SUB0000311,CUST000277,PLAN03,2023-07-09,,Active,True,,,22.99
SUB0000312,CUST000278,PLAN03,2019-07-15,,Active,True,,,22.99
SUB0000313,CUST000279,PLAN02,2022-07-06,,Active,True,,,15.49
SUB0000314,CUST000280,PLAN03,2022-03-14,,Active,True,,,22.99
SUB0000315,CUST000281,PLAN03,2025-04-02,,Active,True,,,22.99
SUB0000316,CUST000282,PLAN02,2026-04-23,,Active,True,,,15.49
SUB0000317,CUST000283,PLAN02,2022-04-04,,Cancelled,True,2026-04-22,Poor customer service experience,15.49
SUB0000318,CUST000284,PLAN03,2019-05-11,,Active,True,,,22.99
SUB0000319,CUST000285,PLAN01,2022-07-11,,Cancelled,False,2025-10-18,Not enough content,6.99
SUB0000320,CUST000286,PLAN01,2020-01-16,,Active,True,,,6.99
SUB0000321,CUST000287,PLAN01,2020-06-29,,Cancelled,True,2025-11-29,No longer needed,6.99
SUB0000322,CUST000288,PLAN01,2019-03-13,,Active,False,,,6.99
SUB0000323,CUST000289,PLAN02,2022-06-13,2024-02-15,Plan Changed,True,,,6.99
SUB0000324,CUST000289,PLAN01,2024-02-15,,Active,True,,,6.99
