viewing_id,customer_id,content_id,viewing_date,watch_duration_minutes,completion_percentage,device_type,login_location,session_duration_minutes
VIEW00000073,CUST000010,CNT00110,2026-05-07,31,59.0,mobile,India,35
VIEW00000074,CUST000010,CNT00265,2026-04-13,63,100.0,smart tv,India,88
VIEW00000075,CUST000010,CNT00474,2026-03-16,32,88.0,smart tv,India,48
VIEW00000076,CUST000010,CNT00374,2025-09-25,30,95.0,desktop,India,46
VIEW00000077,CUST000010,CNT00119,2026-03-22,43,100.0,gaming console,India,55
VIEW00000078,CUST000010,CNT00402,2025-12-16,78,100.0,smarttv,India,86
VIEW00000079,CUST000010,CNT00427,2026-05-14,74,57.0,smart tv,India,86
VIEW00000080,CUST000011,CNT00085,2025-11-13,90,51.0,mobile,ES,90
VIEW00000081,CUST000011,CNT00435,2026-06-08,24,84.0,tablet,Spain,24
VIEW00000082,CUST000011,CNT00147,2026-01-31,25,75.0,laptop,spain,25
VIEW00000083,CUST000011,CNT00062,2026-01-02,97,75.0,gaming console,Spain,104
VIEW00000084,CUST000011,CNT00354,2025-08-23,28,37.0,phone,ES,40
VIEW00000085,CUST000011,CNT00393,2026-01-23,42,60.0,smart tv,SPAIN,65
VIEW00000086,CUST000011,CNT00246,2026-04-27,53,82.0,gaming console,Spain,64
VIEW00000087,CUST000012,CNT00113,2026-06-14,67,100.0,tablet,Japan,70
VIEW00000088,CUST000012,CNT00112,2026-06-10,88,86.0,mobile,Japan,102
VIEW00000089,CUST000012,CNT00136,2026-06-23,28,69.0,unknown,Japan,37
VIEW00000090,CUST000012,CNT00239,2026-02-08,37,100.0,smart tv,Japan,52
VIEW00000091,CUST000012,CNT00115,2026-04-30,59,79.0,laptop,FR,69
VIEW00000092,CUST000012,CNT00013,2026-05-25,14,58.0,mobile,Japan,16
VIEW00000093,CUST000012,CNT00080,2025-12-18,61,87.0,console,Japan,77
VIEW00000094,CUST000012,CNT00416,2026-06-15,74,86.0,mobile,JP,82
VIEW00000095,CUST000012,CNT00189,2026-05-04,51,73.0,phone,Japan,55
VIEW00000096,CUST000012,CNT00238,2026-03-20,68,92.0,mobile,Japan,74
VIEW00000097,CUST000012,CNT00103,2026-05-28,70,66.0,mobile,Japan,88
VIEW00000098,CUST000013,CNT00300,2025-07-26,50,62.0,laptop,Germany,60
VIEW00000099,CUST000014,CNT00327,2026-04-05,23,61.0,smart tv,United States,23
VIEW00000100,CUST000014,CNT00306,2026-01-05,29,69.0,tablet,United States,38
VIEW00000101,CUST000014,CNT00483,2026-02-24,36,73.0,smart tv,USA,40
VIEW00000102,CUST000014,CNT00468,2026-04-10,48,78.0,smart tv,United States,58
VIEW00000103,CUST000015,CNT00167,2025-12-12,43,44.0,laptop,Brazil,46
VIEW00000104,CUST000015,CNT00316,2026-06-04,26,85.0,smart tv,Brazil,33
VIEW00000105,CUST000015,CNT00007,2025-10-27,42,58.0,smart tv,Brazil,51
VIEW00000106,CUST000015,CNT00215,2025-10-03,49,44.0,mobile,Brazil,56
VIEW00000107,CUST000015,CNT00218,2026-05-23,30,76.0,mobile,Brazil,49
VIEW00000108,CUST000015,CNT00031,2026-02-08,47,90.0,mobile,Brazil,62
VIEW00000109,CUST000015,CNT00217,2026-05-07,75,48.0,mobile,BR,86
VIEW00000110,CUST000015,CNT00034,2026-06-28,15,85.0,smart tv,Brazil,28
VIEW00000111,CUST000015,CNT00144,2026-04-04,33,72.0,mobile,Brazil,40
VIEW00000112,CUST000015,CNT00427,2025-10-04,80,78.0,mobile,Brazil,83
VIEW00000113,CUST000015,CNT00383,2026-06-21,36,63.0,smart tv,BR,47
VIEW00000114,CUST000015,CNT00297,2026-05-09,16,84.0,gaming console,Brazil,22
VIEW00000115,CUST000016,CNT00077,2026-01-31,20,57.0,laptop,India,36
VIEW00000116,CUST000017,CNT00180,2026-05-31,107,100.0,mobile,Poland,115
VIEW00000117,CUST000017,CNT00448,2026-01-10,40,100.0,mobile,Poland,61
VIEW00000118,CUST000017,CNT00398,2025-10-10,53,100.0,ipad,Poland,56
VIEW00000119,CUST000018,CNT00346,2026-05-22,3,90.0,mobile,Spain,16
VIEW00000120,CUST000018,CNT00471,2026-05-15,37,100.0,laptop,Spain,47
VIEW00000121,CUST000018,CNT00279,2026-03-30,54,100.0,smart tv,Spain,54
VIEW00000122,CUST000018,CNT00320,2026-04-24,51,51.0,smart tv,Spain,62
VIEW00000123,CUST000018,CNT00357,2026-06-30,49,90.0,mobile,Spain,58
VIEW00000124,CUST000018,CNT00370,2026-05-30,21,74.0,smart tv,Spain,33
VIEW00000125,CUST000018,CNT00240,2026-05-10,26,72.0,gaming console,Spain,38
VIEW00000126,CUST000018,CNT00445,2026-05-22,46,60.0,smart tv,SPAIN,54
VIEW00000127,CUST000018,CNT00147,2026-05-18,65,78.0,laptop,Spain,82
VIEW00000128,CUST000018,CNT00387,2026-05-01,102,54.0,laptop,Spain,104
VIEW00000129,CUST000019,CNT00073,2026-02-16,7,94.0,playstation/xbox,South Africa,7
VIEW00000130,CUST000020,CNT00294,2026-06-03,58,69.0,tablet,United States,69
VIEW00000131,CUST000020,CNT00305,2025-07-27,67,62.0,tv,United States,75
VIEW00000132,CUST000020,CNT00377,2025-09-19,49,100.0,mobile,United States,56
VIEW00000133,CUST000020,CNT00273,2026-02-27,53,77.0,laptop,United States,53
VIEW00000134,CUST000020,CNT00221,2025-08-27,80,53.0,mobile,Canada,101
VIEW00000135,CUST000020,CNT00018,2025-11-03,53,81.0,tablet,United States,64
VIEW00000136,CUST000020,CNT00448,2025-08-28,65,22.0,tablet,United States,72
VIEW00000137,CUST000020,CNT00185,2026-01-11,19,100.0,smart tv,United States,25
VIEW00000138,CUST000020,CNT00424,2025-10-19,36,54.0,laptop,United States,48
VIEW00000139,CUST000020,CNT00195,2026-02-22,59,60.0,gaming console,United States,60
VIEW00000140,CUST000020,CNT00371,2026-06-20,77,71.0,mobile,United States,82
VIEW00000141,CUST000021,CNT00063,2026-03-21,50,84.0,smart tv,United States,52
VIEW00000142,CUST000021,CNT00179,2025-09-17,10,44.0,laptop,US,14
VIEW00000143,CUST000021,CNT00390,2025-12-14,28,84.0,mobile,United States,35
VIEW00000144,CUST000021,CNT00362,2025-10-07,29,74.0,tablet,United States,39
VIEW00000145,CUST000021,CNT00476,2025-07-22,48,72.0,smart tv,United States,52
VIEW00000146,CUST000021,CNT00277,2025-07-13,7,69.0,smart tv,US,17
VIEW00000147,CUST000021,CNT00428,2026-06-25,3,56.0,smart tv,United States,14
VIEW00000148,CUST000021,CNT00274,2025-10-16,60,85.0,laptop,USA,61
VIEW00000149,CUST000021,CNT00174,2025-09-25,22,56.0,gaming console,United States,27
VIEW00000150,CUST000021,CNT00044,2025-11-08,14,60.0,mobile,United States,18
VIEW00000151,CUST000021,CNT00196,2026-02-02,45,67.0,mobile,United States,49
VIEW00000152,CUST000021,CNT00030,2026-06-15,39,73.0,mobile,United States,41
VIEW00000153,CUST000021,CNT00042,2025-07-29,56,100.0,smart tv,United States,60
VIEW00000154,CUST000021,CNT00083,2026-04-06,88,100.0,mobile,united states,113
VIEW00000155,CUST000021,CNT00306,2026-03-02,66,83.0,mobile,United States,70
VIEW00000156,CUST000021,CNT00177,2026-02-24,58,54.0,mobile,U.S.A,70
VIEW00000157,CUST000021,CNT00049,2025-09-30,44,95.0,mobile,United States,47
VIEW00000158,CUST000021,CNT00052,2025-12-12,26,81.0,phone,United States,31
VIEW00000159,CUST000022,CNT00358,2026-06-15,19,86.0,laptop,United States,35
VIEW00000160,CUST000022,CNT00218,2026-03-09,35,35.0,mobile,United States,44
VIEW00000161,CUST000022,CNT00113,2026-06-01,21,56.0,laptop,United States,43
VIEW00000162,CUST000022,CNT00062,2026-04-09,51,70.0,smart tv,United States,70
VIEW00000163,CUST000022,CNT00284,2026-04-03,11,100.0,smart tv,United States,23
VIEW00000164,CUST000022,CNT00399,2026-05-19,3,58.0,smart tv,United States,7
VIEW00000165,CUST000022,CNT00007,2026-04-02,62,88.0,mobile,United States,66
VIEW00000166,CUST000022,CNT00182,2026-03-31,82,100.0,mobile,United States,97
VIEW00000167,CUST000022,CNT00202,2026-05-01,30,52.0,smart tv,United States,30
VIEW00000168,CUST000022,CNT00005,2026-03-03,61,80.0,smart tv,United States,61
VIEW00000169,CUST000023,CNT00231,2026-06-01,32,95.0,smart tv,Indonesia,54
VIEW00000170,CUST000023,CNT00337,2026-05-03,48,79.0,laptop,Indonesia,55
VIEW00000171,CUST000023,CNT00154,2026-04-20,81,66.0,phone,Indonesia,91
VIEW00000172,CUST000023,CNT00460,2026-04-23,40,35.0,tablet,Indonesia,50
VIEW00000173,CUST000023,CNT00490,2026-06-08,57,98.0,laptop,Indonesia,62
VIEW00000174,CUST000023,CNT00085,2026-06-16,86,86.0,tablet,Indonesia,103
VIEW00000175,CUST000023,CNT00357,2026-05-17,63,36.0,mobile,Indonesia,79
VIEW00000176,CUST000023,CNT00341,2026-06-24,55,100.0,smart tv,ID,55
VIEW00000177,CUST000023,CNT00222,2026-06-13,67,77.0,mobile,Indonesia,67
VIEW00000178,CUST000023,CNT00313,2026-05-03,12,52.0,smart tv,Indonesia,21
VIEW00000179,CUST000024,CNT00072,2026-03-02,67,100.0,smart tv,India,68
VIEW00000180,CUST000024,CNT00219,2026-02-19,65,34.0,mobile,India,80
VIEW00000181,CUST000024,CNT00359,2026-02-22,41,100.0,mobile,India,42
VIEW00000182,CUST000024,CNT00221,2026-01-27,59,56.0,mobile,India,59
VIEW00000183,CUST000024,CNT00206,2026-03-22,64,58.0,tablet,India,77
VIEW00000184,CUST000024,CNT00275,2026-03-06,97,27.0,laptop,India,104
VIEW00000185,CUST000024,CNT00137,2026-04-11,18,85.0,smart tv,India,22
VIEW00000186,CUST000024,CNT00185,2026-02-17,21,89.0,mobile,India,25
VIEW00000187,CUST000024,CNT00005,2026-05-09,25,63.0,tv,India,26
VIEW00000188,CUST000024,CNT00429,2026-03-06,55,84.0,gaming console,India,70
VIEW00000189,CUST000024,CNT00436,2026-02-21,63,53.0,smart tv,India,76
VIEW00000190,CUST000025,CNT00151,2026-04-04,2,71.0,smart tv,Germany,2
VIEW00000191,CUST000025,CNT00485,2026-02-25,66,87.0,smart tv,Australia,66
VIEW00000192,CUST000025,CNT00212,2026-04-03,72,70.0,smarttv,Germany,74
VIEW00000193,CUST000025,CNT00134,2025-10-10,22,62.0,mobile,Germany,30
VIEW00000194,CUST000025,CNT00284,2025-12-24,67,100.0,smartphone,Germany,67
VIEW00000195,CUST000026,CNT00100,2026-02-18,49,67.0,tv,United States,49
VIEW00000196,CUST000026,CNT00495,2026-02-04,35,100.0,tablet,United States,42
VIEW00000197,CUST000026,CNT00006,2026-03-03,39,66.0,smart tv,U.S.A,47
VIEW00000198,CUST000026,CNT00299,2026-01-15,19,78.0,smart tv,United States,26
VIEW00000199,CUST000026,CNT00217,2025-12-24,3,91.0,smart tv,United States,12
VIEW00000200,CUST000026,CNT00322,2026-02-22,83,68.0,smart tv,United States,94
VIEW00000201,CUST000026,CNT00096,2025-12-24,66,41.0,mobile,United States,66
VIEW00000202,CUST000027,CNT00036,2026-01-08,48,73.0,smarttv,Mexico,62
VIEW00000203,CUST000027,CNT00092,2025-12-21,29,50.0,mobile,Mexico,29
VIEW00000204,CUST000027,CNT00382,2025-09-01,71,92.0,gaming console,Mexico,80
VIEW00000205,CUST000027,CNT00204,2025-11-29,37,31.0,mobile,Mexico,52
VIEW00000206,CUST000027,CNT00255,2025-07-16,47,74.0,tablet,Mexico,47
VIEW00000207,CUST000027,CNT00234,2025-10-19,92,97.0,ipad,South Korea,107
VIEW00000208,CUST000027,CNT00289,2026-06-14,50,80.0,smart tv,Mexico,56
VIEW00000209,CUST000027,CNT00465,2025-10-19,82,100.0,mobile,Mexico,82
VIEW00000210,CUST000028,CNT00156,2025-11-08,115,88.0,tablet,United States,123
VIEW00000211,CUST000028,CNT00218,2026-02-17,99,100.0,tablet,United States,113
VIEW00000212,CUST000028,CNT00421,2026-01-07,40,59.0,pc,United States,51
VIEW00000213,CUST000028,CNT00202,2025-12-02,48,94.0,unknown,United States,48
VIEW00000214,CUST000028,CNT00062,2025-07-29,82,78.0,smart tv,Germany,82
VIEW00000215,CUST000028,CNT00486,2025-07-01,53,49.0,mobile,United States,60
VIEW00000216,CUST000028,CNT00188,2025-10-21,25,97.0,smart tv,United States,32
VIEW00000217,CUST000029,CNT00096,2025-11-05,50,80.0,tv,United States,63
VIEW00000218,CUST000029,CNT00268,2025-07-03,100,86.0,smart tv,United States,117
VIEW00000219,CUST000029,CNT00427,2026-01-07,63,78.0,smart tv,United States,65
VIEW00000220,CUST000029,CNT00128,2025-12-11,54,72.0,gaming console,U.S.A,72
VIEW00000221,CUST000029,CNT00203,2026-03-24,52,75.0,smart tv,United States,64
VIEW00000222,CUST000029,CNT00446,2025-08-16,84,27.0,laptop,USA,97
VIEW00000223,CUST000029,CNT00157,2026-02-18,63,62.0,mobile,Germany,86
VIEW00000224,CUST000029,CNT00497,2026-05-29,46,52.0,mobile,United States,57
VIEW00000225,CUST000030,CNT00408,2025-08-03,40,100.0,tablet,U.S.A,48
VIEW00000226,CUST000030,CNT00051,2026-01-19,53,69.0,mobile,United States,58
VIEW00000227,CUST000030,CNT00014,2025-11-02,38,71.0,mobile,United States,52
VIEW00000228,CUST000030,CNT00307,2026-06-17,56,83.0,console,USA,56
VIEW00000229,CUST000030,CNT00008,2025-09-30,40,63.0,mobile,United States,40
VIEW00000230,CUST000030,CNT00008,2026-05-18,11,100.0,smart tv,Australia,24
VIEW00000231,CUST000030,CNT00086,2025-09-11,42,44.0,gaming console,United States,42
VIEW00000232,CUST000031,CNT00454,2026-06-12,70,76.0,smart tv,Japan,70
VIEW00000233,CUST000031,CNT00208,2025-09-03,23,63.0,laptop,Japan,27
VIEW00000234,CUST000031,CNT00257,2026-05-24,69,62.0,mobile,Japan,79
VIEW00000235,CUST000031,CNT00129,2025-09-23,3,60.0,smart tv,Japan,5
VIEW00000236,CUST000031,CNT00348,2025-12-01,56,88.0,smart tv,Japan,70
VIEW00000237,CUST000032,CNT00331,2025-11-02,72,88.0,mobile,ID,74
VIEW00000238,CUST000032,CNT00102,2025-07-08,22,59.0,smart tv,Indonesia,28
VIEW00000239,CUST000032,CNT00219,2025-07-22,54,64.0,phone,Indonesia,67
VIEW00000240,CUST000032,CNT00153,2025-08-29,56,66.0,tablet,Indonesia,58
VIEW00000241,CUST000032,CNT00295,2025-07-01,58,70.0,smart tv,Indonesia,68
VIEW00000242,CUST000032,CNT00457,2026-04-03,31,69.0,tv,Indonesia,46
VIEW00000243,CUST000032,CNT00434,2025-08-19,72,55.0,smart tv,Indonesia,77
VIEW00000244,CUST000032,CNT00011,2025-08-13,61,65.0,laptop,Indonesia,72
VIEW00000245,CUST000032,CNT00075,2026-02-13,21,67.0,laptop,Indonesia,30
VIEW00000246,CUST000032,CNT00392,2025-09-10,3,74.0,mobile,Indonesia,4
VIEW00000247,CUST000032,CNT00187,2026-05-17,40,46.0,mobile,Indonesia,48
VIEW00000248,CUST000032,CNT00126,2026-02-17,39,74.0,gaming console,Indonesia,39
VIEW00000249,CUST000032,CNT00305,2026-01-26,60,98.0,smart tv,Indonesia,72
VIEW00000250,CUST000032,CNT00318,2025-07-29,72,92.0,smart tv,Indonesia,85
VIEW00000251,CUST000032,CNT00424,2025-11-07,12,48.0,smart tv,Indonesia,12
VIEW00000252,CUST000032,CNT00274,2025-10-04,37,89.0,smart tv,Indonesia,50
VIEW00000253,CUST000033,CNT00155,2025-08-24,29,89.0,smart tv,United States,29
VIEW00000254,CUST000033,CNT00188,2026-06-06,70,74.0,unknown,United States,73
VIEW00000255,CUST000033,CNT00072,2026-03-01,48,74.0,smart tv,united states,59
VIEW00000256,CUST000033,CNT00243,2025-11-11,67,43.0,gaming console,United States,79
VIEW00000257,CUST000033,CNT00202,2026-03-30,77,71.0,gaming console,United States,84
VIEW00000258,CUST000033,CNT00276,2025-08-12,43,100.0,smart tv,USA,44
VIEW00000259,CUST000033,CNT00413,2025-12-10,11,67.0,smarttv,United States,12
VIEW00000260,CUST000033,CNT00213,2026-04-30,72,34.0,smart tv,United States,74
VIEW00000261,CUST000033,CNT00072,2026-05-02,74,83.0,gaming console,United States,82
VIEW00000262,CUST000033,CNT00111,2025-07-02,4,56.0,tablet,United States,22
VIEW00000263,CUST000033,CNT00097,2026-03-10,24,87.0,smartphone,United States,29
VIEW00000264,CUST000033,CNT00097,2025-08-31,20,57.0,mobile,U.S.A,24
VIEW00000265,CUST000034,CNT00071,2026-02-01,25,58.0,mobile,United States,25
VIEW00000266,CUST000034,CNT00414,2026-06-28,71,24.0,phone,United States,76
VIEW00000267,CUST000034,CNT00177,2026-04-04,55,91.0,tablet,US,61
VIEW00000268,CUST000034,CNT00099,2025-12-14,9,52.0,mobile,US,16
VIEW00000269,CUST000035,CNT00195,2025-09-19,51,30.0,smarttv,Poland,55
VIEW00000270,CUST000035,CNT00337,2026-01-13,45,50.0,tablet,Poland,52
VIEW00000271,CUST000035,CNT00160,2025-09-04,61,100.0,tablet,poland,64
VIEW00000272,CUST000035,CNT00436,2025-11-14,26,81.0,laptop,Poland,30
VIEW00000273,CUST000035,CNT00290,2025-11-05,45,100.0,mobile,Poland,46
VIEW00000274,CUST000035,CNT00215,2025-07-30,61,85.0,unknown,Poland,67
VIEW00000275,CUST000035,CNT00222,2026-01-31,31,99.0,phone,Poland,41
VIEW00000276,CUST000035,CNT00123,2025-07-07,51,74.0,mobile,Poland,62
VIEW00000277,CUST000035,CNT00490,2026-01-25,49,95.0,mobile,Poland,53
VIEW00000278,CUST000035,CNT00166,2025-10-22,44,85.0,smart tv,Poland,54
VIEW00000279,CUST000036,CNT00320,2026-01-02,34,44.0,mobile,United States,38
VIEW00000280,CUST000036,CNT00025,2025-08-04,68,81.0,laptop,United States,79
VIEW00000281,CUST000036,CNT00160,2025-07-11,79,59.0,mobile,United States,93
VIEW00000282,CUST000036,CNT00347,2026-02-13,40,62.0,mobile,United States,54
VIEW00000283,CUST000036,CNT00445,2026-01-20,63,97.0,mobile,United States,74
VIEW00000284,CUST000036,CNT00034,2025-08-10,47,78.0,tablet,United States,51
VIEW00000285,CUST000036,CNT00042,2026-03-17,76,100.0,smart tv,United States,76
VIEW00000286,CUST000036,CNT00133,2026-06-18,26,36.0,tablet,United States,31
VIEW00000287,CUST000037,CNT00475,2025-10-11,3,53.0,smart tv,INDIA,9
VIEW00000288,CUST000037,CNT00245,2025-10-19,40,64.0,smart tv,IN,44
VIEW00000289,CUST000037,CNT00139,2025-08-28,33,76.0,mobile,India,42
VIEW00000290,CUST000037,CNT00073,2026-03-20,90,42.0,tablet,India,98
VIEW00000291,CUST000037,CNT00011,2025-10-25,53,58.0,smart tv,IN,60
VIEW00000292,CUST000037,CNT00251,2025-11-13,19,58.0,tablet,India,25
VIEW00000293,CUST000037,CNT00356,2025-07-03,65,63.0,laptop,India,73
VIEW00000294,CUST000037,CNT00278,2026-03-07,38,80.0,tablet,INDIA,47
VIEW00000295,CUST000037,CNT00248,2025-07-17,71,96.0,tablet,India,81
VIEW00000296,CUST000037,CNT00271,2026-06-10,74,72.0,tablet,Bharat,81
VIEW00000297,CUST000038,CNT00279,2026-03-29,49,95.0,mobile,Canada,55
VIEW00000298,CUST000038,CNT00407,2025-09-23,66,33.0,mobile,Canada,72
VIEW00000299,CUST000038,CNT00429,2026-05-04,49,75.0,mobile,Canada,56
VIEW00000300,CUST000038,CNT00416,2025-07-20,72,100.0,smart tv,Canada,84
VIEW00000301,CUST000038,CNT00334,2026-05-02,17,90.0,mobile,Canada,34
VIEW00000302,CUST000038,CNT00241,2026-06-09,7,97.0,smart tv,Canada,14
VIEW00000303,CUST000038,CNT00455,2026-05-16,62,100.0,smart tv,Canada,69
VIEW00000304,CUST000038,CNT00237,2025-12-23,73,81.0,laptop,Canada,80
VIEW00000305,CUST000038,CNT00110,2026-05-08,51,90.0,smart tv,Canada,53
VIEW00000306,CUST000038,CNT00283,2026-05-10,46,88.0,mobile,Canada,55
VIEW00000307,CUST000039,CNT00417,2025-10-04,56,67.0,mobile,United Kingdom,63
VIEW00000308,CUST000039,CNT00235,2026-03-10,59,63.0,gaming console,United Kingdom,59
VIEW00000309,CUST000039,CNT00428,2025-08-16,68,68.0,smart tv,United Kingdom,83
VIEW00000310,CUST000040,CNT00151,2026-03-14,29,100.0,smart tv,South Korea,29
VIEW00000311,CUST000040,CNT00328,2026-02-05,89,72.0,tablet,South Korea,105
VIEW00000312,CUST000040,CNT00406,2025-10-12,43,100.0,tablet,Nigeria,57
VIEW00000313,CUST000040,CNT00115,2025-11-07,7,100.0,mobile,South Korea,18
VIEW00000314,CUST000040,CNT00220,2025-12-03,24,98.0,smart tv,South Korea,34
VIEW00000315,CUST000040,CNT00054,2026-03-17,3,67.0,smart tv,South Korea,11
VIEW00000316,CUST000040,CNT00481,2025-08-07,3,83.0,mobile,South Korea,13
VIEW00000317,CUST000040,CNT00228,2025-07-02,41,57.0,smart tv,South Korea,63
VIEW00000318,CUST000040,CNT00247,2025-09-07,46,51.0,smart tv,south korea,61
VIEW00000319,CUST000040,CNT00130,2026-04-26,69,69.0,smart tv,South Korea,71
VIEW00000320,CUST000040,CNT00332,2025-08-26,32,100.0,smart tv,South Korea,36
VIEW00000321,CUST000040,CNT00122,2026-01-05,57,87.0,tablet,S. Korea,74
