payment_id,customer_id,subscription_id,payment_date,amount,payment_method,payment_status,failed_payment_reason
PAY00000055,CUST000005,,2024-10-22,6.99,Credit Card,Success,
PAY00000056,CUST000005,,2024-11-21,6.99,Debit Card,Success,
PAY00000057,CUST000005,,2024-12-21,6.99,Mobile Wallet,Failed,International transaction blocked
PAY00000058,CUST000005,,2025-01-20,6.99,PayPal,Success,
PAY00000059,CUST000005,,2025-02-19,6.99,PayPal,Success,
PAY00000060,CUST000005,,2025-03-21,6.99,Credit Card,Success,
PAY00000061,CUST000005,,2025-04-20,6.99,Net Banking,Success,
PAY00000062,CUST000005,,2025-05-20,6.99,Gift Card,Success,
PAY00000063,CUST000005,,2025-06-19,6.99,Credit Card,Success,
PAY00000064,CUST000005,,2025-07-19,6.99,UPI,Success,
PAY00000065,CUST000005,,2025-08-18,6.99,Credit Card,Success,
PAY00000066,CUST000005,,2025-09-17,6.99,Credit Card,Success,
PAY00000067,CUST000006,,2025-07-19,22.99,Mobile Wallet,Success,
PAY00000068,CUST000006,,2025-08-18,22.99,UPI,Success,
PAY00000069,CUST000006,,2025-09-17,22.99,Mobile Wallet,Success,
PAY00000070,CUST000006,,2025-10-17,22.99,Credit Card,Success,
PAY00000071,CUST000006,,2025-11-16,22.99,PayPal,Success,
PAY00000072,CUST000006,,2025-12-16,252.89,UPI,Success,
PAY00000073,CUST000006,,2026-01-15,22.99,Gift Card,Success,
PAY00000074,CUST000006,,2026-02-14,22.99,Credit Card,Success,
PAY00000075,CUST000006,,2026-03-16,22.99,Credit Card,Success,
PAY00000076,CUST000006,,2026-04-15,22.99,Credit Card,Success,
PAY00000077,CUST000006,,2026-05-15,22.99,PayPal,Success,
PAY00000078,CUST000007,,2025-10-30,15.49,Credit Card,Success,
PAY00000079,CUST000007,,2025-11-29,15.49,UPI,Success,
PAY00000080,CUST000007,,2025-12-29,15.49,Debit Card,Success,
PAY00000081,CUST000007,,2026-01-28,15.49,UPI,Success,
PAY00000082,CUST000007,,2026-02-27,15.49,Credit Card,Success,
PAY00000083,CUST000007,,2026-03-29,15.49,Credit Card,Success,
PAY00000084,CUST000007,,2026-04-28,15.49,Debit Card,Failed,Card reported lost/stolen
PAY00000085,CUST000007,,2026-05-28,15.49,PayPal,Success,
PAY00000086,CUST000008,,2023-08-21,15.49,Net Banking,Success,
PAY00000087,CUST000008,,2023-09-20,15.49,Credit Card,Success,
PAY00000088,CUST000008,,2023-10-20,15.49,Credit Card,Success,
PAY00000089,CUST000008,,2023-11-19,15.49,PayPal,Success,
PAY00000090,CUST000008,,2023-12-19,15.49,UPI,Success,
PAY00000091,CUST000008,,2024-01-18,15.49,PayPal,Success,
PAY00000092,CUST000008,,2024-02-17,15.49,Debit Card,Success,
PAY00000093,CUST000008,,2024-03-18,15.49,Credit Card,Success,
PAY00000094,CUST000008,,2024-04-17,15.49,Debit Card,Success,
PAY00000095,CUST000008,,2024-05-17,15.49,UPI,Success,
PAY00000096,CUST000008,,2024-06-16,170.39,Credit Card,Success,
PAY00000097,CUST000008,,2024-07-16,15.49,Debit Card,Success,
PAY00000098,CUST000008,,2024-08-15,15.49,Credit Card,Success,
PAY00000099,CUST000008,,2024-09-14,15.49,Mobile Wallet,Success,
PAY00000100,CUST000008,,2024-10-14,15.49,Credit Card,Success,
PAY00000101,CUST000009,,2019-11-18,15.49,UPI,Success,
PAY00000102,CUST000009,,2019-12-18,15.49,UPI,Success,
PAY00000103,CUST000009,,2020-01-17,15.49,UPI,Success,
PAY00000104,CUST000009,,2020-02-16,15.49,Debit Card,Success,
PAY00000105,CUST000009,,2020-03-17,15.49,UPI,Success,
PAY00000106,CUST000009,,2020-04-16,15.49,UPI,Success,
PAY00000107,CUST000009,,2020-05-16,15.49,Credit Card,Success,
PAY00000108,CUST000009,,2020-06-15,15.49,PayPal,Success,
PAY00000109,CUST000009,,2020-07-15,15.49,Credit Card,Success,
PAY00000110,CUST000009,,2020-08-14,15.49,PayPal,Failed,International transaction blocked
PAY00000111,CUST000009,,2020-09-13,15.49,UPI,Failed,International transaction blocked
PAY00000112,CUST000009,,2020-10-13,0.0,UPI,Success,
PAY00000113,CUST000009,,2020-11-12,15.49,UPI,Success,
PAY00000114,CUST000009,,2020-12-12,15.49,Credit Card,Success,
PAY00000115,CUST000009,,2021-01-11,15.49,Debit Card,Success,
PAY00000116,CUST000010,,2021-12-03,6.99,Debit Card,Success,
PAY00000117,CUST000010,,2022-01-02,6.99,PayPal,Success,
PAY00000118,CUST000010,,2022-02-01,6.99,UPI,Success,
PAY00000119,CUST000010,,2022-03-03,6.99,UPI,Success,
PAY00000120,CUST000010,,2022-04-02,6.99,Mobile Wallet,Success,
PAY00000121,CUST000010,,2022-05-02,6.99,Credit Card,Success,
PAY00000122,CUST000010,,2022-06-01,6.99,Net Banking,Success,
PAY00000123,CUST000010,,2022-07-01,6.99,UPI,Success,
PAY00000124,CUST000010,,2022-07-31,6.99,Debit Card,Success,
PAY00000125,CUST000010,,2022-08-30,6.99,UPI,Success,
PAY00000126,CUST000010,,2022-09-29,6.99,PayPal,Success,
PAY00000127,CUST000010,,2022-10-29,6.99,PayPal,Success,
PAY00000128,CUST000010,,2022-11-28,6.99,Credit Card,Success,
PAY00000129,CUST000010,,2022-12-28,6.99,Credit Card,Success,
PAY00000130,CUST000010,,2023-01-27,6.99,Net Banking,Success,
PAY00000131,CUST000011,,2022-06-29,6.99,Credit Card,Success,
PAY00000132,CUST000011,,2022-07-29,6.99,Net Banking,Success,
PAY00000133,CUST000011,,2022-08-28,6.99,Mobile Wallet,Success,
PAY00000134,CUST000011,,2022-09-27,6.99,Debit Card,Success,
PAY00000135,CUST000011,,2022-10-27,6.99,Mobile Wallet,Success,
PAY00000136,CUST000011,,2022-11-26,6.99,Debit Card,Success,
PAY00000137,CUST000011,,2022-12-26,6.99,Credit Card,Success,
PAY00000138,CUST000011,,2023-01-25,6.99,Credit Card,Success,
PAY00000139,CUST000011,,2023-02-24,6.99,Net Banking,Success,
PAY00000140,CUST000011,,2023-03-26,6.99,UPI,Success,
PAY00000141,CUST000011,,2023-04-25,6.99,Credit Card,Success,
PAY00000142,CUST000011,,2023-05-25,6.99,Credit Card,Failed,Card expired
PAY00000143,CUST000011,,2023-06-24,6.99,Credit Card,Success,
PAY00000144,CUST000011,,2023-07-24,6.99,Net Banking,Success,
PAY00000145,CUST000011,,2023-08-23,6.99,Net Banking,Success,
PAY00000146,CUST000012,,2023-06-01,15.49,Debit Card,Success,
PAY00000147,CUST000012,,2023-07-01,15.49,Credit Card,Success,
PAY00000148,CUST000012,,2023-07-31,15.49,PayPal,Success,
PAY00000149,CUST000012,,2023-08-30,15.49,Debit Card,Success,
PAY00000150,CUST000012,,2023-09-29,15.49,UPI,Success,
PAY00000151,CUST000012,,2023-10-29,15.49,Net Banking,Success,
PAY00000152,CUST000012,,2023-11-28,15.49,Net Banking,Success,
PAY00000153,CUST000012,,2023-12-28,15.49,Gift Card,Success,
PAY00000154,CUST000012,,2024-01-27,15.49,UPI,Success,
PAY00000155,CUST000012,,2024-02-26,15.49,UPI,Success,
PAY00000156,CUST000012,,2024-03-27,15.49,Debit Card,Success,
PAY00000157,CUST000012,,2024-04-26,15.49,Credit Card,Success,
PAY00000158,CUST000012,,2024-05-26,15.49,Credit Card,Success,
PAY00000159,CUST000012,,2024-06-25,15.49,PayPal,Success,
PAY00000160,CUST000012,,2024-07-25,15.49,UPI,Success,
PAY00000161,CUST000013,,2023-05-24,6.99,UPI,Failed,International transaction blocked
PAY00000162,CUST000013,,2023-06-23,6.99,Credit Card,Success,
PAY00000163,CUST000013,,2023-07-23,6.99,Credit Card,Success,
PAY00000164,CUST000013,,2023-08-22,6.99,Debit Card,Success,
PAY00000165,CUST000013,,2023-09-21,6.99,Credit Card,Success,
PAY00000166,CUST000013,,2023-10-21,6.99,Credit Card,Success,
PAY00000167,CUST000013,,2023-11-20,6.99,PayPal,Success,
PAY00000168,CUST000013,,2023-12-20,6.99,UPI,Success,
PAY00000169,CUST000013,,2024-01-19,6.99,Debit Card,Success,
PAY00000170,CUST000013,,2024-02-18,6.99,Debit Card,Success,
PAY00000171,CUST000013,,2024-03-19,6.99,Mobile Wallet,Success,
PAY00000172,CUST000013,,2024-04-18,6.99,Net Banking,Success,
PAY00000173,CUST000013,,2024-05-18,6.99,Debit Card,Success,
PAY00000174,CUST000013,,2024-06-17,6.99,PayPal,Success,
PAY00000175,CUST000013,,2024-07-17,6.99,Net Banking,Success,
PAY00000176,CUST000014,,2025-10-13,15.49,Net Banking,Success,
PAY00000177,CUST000014,,2025-11-12,15.49,Debit Card,Failed,International transaction blocked
PAY00000178,CUST000014,,2025-12-12,15.49,Credit Card,Success,
PAY00000179,CUST000014,,2026-01-11,15.49,Gift Card,Success,
PAY00000180,CUST000014,,2026-02-10,15.49,Credit Card,Success,
PAY00000181,CUST000014,,2026-03-12,15.49,Net Banking,Success,
PAY00000182,CUST000014,,2026-04-11,15.49,Mobile Wallet,Success,
PAY00000183,CUST000014,,2026-05-11,15.49,Credit Card,Success,
PAY00000184,CUST000015,,2025-09-09,15.49,PayPal,Success,
PAY00000185,CUST000015,,2025-10-09,15.49,Credit Card,Success,
PAY00000186,CUST000015,,2025-11-08,15.49,Credit Card,Success,
PAY00000187,CUST000015,,2025-12-08,15.49,UPI,Success,
PAY00000188,CUST000015,,2026-01-07,15.49,Credit Card,Success,
PAY00000189,CUST000015,,2026-02-06,15.49,Gift Card,Success,
PAY00000190,CUST000015,,2026-03-08,15.49,Credit Card,Success,
PAY00000191,CUST000015,,2026-04-07,15.49,Net Banking,Success,
PAY00000192,CUST000015,,2026-05-07,15.49,Net Banking,Success,
PAY00000193,CUST000016,,2025-03-17,6.99,UPI,Success,
PAY00000194,CUST000016,,2025-04-16,6.99,PayPal,Success,
PAY00000195,CUST000016,,2025-05-16,6.99,Debit Card,Success,
PAY00000196,CUST000016,,2025-06-15,6.99,Credit Card,Success,
PAY00000197,CUST000016,,2025-07-15,6.99,Debit Card,Success,
PAY00000198,CUST000016,,2025-08-14,6.99,UPI,Success,
PAY00000199,CUST000016,,2025-09-13,6.99,UPI,Success,
PAY00000200,CUST000016,,2025-10-13,6.99,Credit Card,Failed,Card expired
PAY00000201,CUST000016,,2025-11-12,6.99,PayPal,Success,
PAY00000202,CUST000016,,2025-12-12,6.99,Credit Card,Success,
PAY00000203,CUST000016,,2026-01-11,6.99,Debit Card,Failed,Incorrect card details
PAY00000204,CUST000016,,2026-02-10,6.99,Gift Card,Success,
PAY00000205,CUST000016,,2026-03-12,6.99,Credit Card,Success,
PAY00000206,CUST000016,,2026-04-11,6.99,UPI,Success,
PAY00000207,CUST000016,,2026-05-11,6.99,UPI,Success,
PAY00000208,CUST000017,,2019-03-16,6.99,Debit Card,Success,
PAY00000209,CUST000017,,2019-04-15,6.99,PayPal,Success,
PAY00000210,CUST000017,,2019-05-15,6.99,Credit Card,Success,
PAY00000211,CUST000017,,2019-06-14,6.99,Credit Card,Failed,International transaction blocked
PAY00000212,CUST000017,,2019-07-14,6.99,Debit Card,Success,
PAY00000213,CUST000017,,2019-08-13,6.99,UPI,Success,
PAY00000214,CUST000017,,2019-09-12,6.99,PayPal,Success,
PAY00000215,CUST000017,,2019-10-12,6.99,Debit Card,Success,
PAY00000216,CUST000017,,2019-11-11,6.99,UPI,Failed,Insufficient funds
PAY00000217,CUST000017,,2019-12-11,6.99,Credit Card,Success,
PAY00000218,CUST000017,,2020-01-10,6.99,Net Banking,Success,
PAY00000219,CUST000017,,2020-02-09,6.99,UPI,Success,
PAY00000220,CUST000017,,2020-03-10,6.99,Credit Card,Failed,Incorrect card details
PAY00000221,CUST000017,,2020-04-09,6.99,PayPal,Success,
PAY00000222,CUST000017,,2020-05-09,6.99,Credit Card,Success,
PAY00000223,CUST000018,,2026-03-08,6.99,Gift Card,Success,
PAY00000224,CUST000018,,2026-04-07,6.99,Credit Card,Success,
PAY00000225,CUST000018,,2026-05-07,6.99,Net Banking,Success,
PAY00000226,CUST000019,,2020-06-25,15.49,Credit Card,Success,
PAY00000227,CUST000019,,2020-07-25,15.49,Credit Card,Success,
PAY00000228,CUST000019,,2020-08-24,15.49,Credit Card,Success,
PAY00000229,CUST000019,,2020-09-23,15.49,PayPal,Success,
PAY00000230,CUST000019,,2020-10-23,15.49,Credit Card,Success,
PAY00000231,CUST000019,,2020-11-22,15.49,UPI,Success,
PAY00000232,CUST000019,,2020-12-22,15.49,Debit Card,Success,
PAY00000233,CUST000019,,2021-01-21,15.49,Debit Card,Success,
PAY00000234,CUST000019,,2021-02-20,15.49,Net Banking,Success,
PAY00000235,CUST000019,,2021-03-22,15.49,PayPal,Success,
PAY00000236,CUST000019,,2021-04-21,15.49,Net Banking,Success,
PAY00000237,CUST000019,,2021-05-21,15.49,Credit Card,Success,
PAY00000238,CUST000019,,2021-06-20,15.49,PayPal,Success,
PAY00000239,CUST000019,,2021-07-20,15.49,Credit Card,Success,
PAY00000240,CUST000019,,2021-08-19,15.49,Credit Card,Success,
PAY00000241,CUST000020,,2024-06-14,6.99,Mobile Wallet,Success,
PAY00000242,CUST000020,,2024-07-14,6.99,Mobile Wallet,Success,
PAY00000243,CUST000020,,2024-08-13,6.99,UPI,Success,
PAY00000244,CUST000020,,2024-09-12,6.99,Credit Card,Success,
PAY00000245,CUST000020,,2024-10-12,6.99,UPI,Success,
PAY00000246,CUST000020,,2024-11-11,6.99,Credit Card,Success,
PAY00000247,CUST000020,,2024-12-11,6.99,Credit Card,Success,
PAY00000248,CUST000020,,2025-01-10,6.99,Gift Card,Success,
PAY00000249,CUST000020,,2025-02-09,6.99,UPI,Success,
PAY00000250,CUST000020,,2025-03-11,6.99,Debit Card,Success,
PAY00000251,CUST000020,,2025-04-10,6.99,UPI,Failed,Incorrect card details
PAY00000252,CUST000020,,2025-05-10,6.99,Net Banking,Success,
PAY00000253,CUST000020,,2025-06-09,6.99,Gift Card,Success,
PAY00000254,CUST000020,,2025-07-09,6.99,Mobile Wallet,Success,
PAY00000255,CUST000020,,2025-08-08,6.99,Debit Card,Success,
PAY00000256,CUST000021,,2020-06-13,22.99,Debit Card,Success,
PAY00000257,CUST000021,,2020-07-13,22.99,Debit Card,Success,
PAY00000258,CUST000021,,2020-08-12,22.99,UPI,Success,
PAY00000259,CUST000021,,2020-09-11,22.99,Credit Card,Success,
PAY00000260,CUST000021,,2020-10-11,22.99,Credit Card,Success,
PAY00000261,CUST000021,,2020-11-10,22.99,PayPal,Success,
PAY00000262,CUST000021,,2020-12-10,22.99,PayPal,Success,
PAY00000263,CUST000021,,2021-01-09,22.99,Credit Card,Success,
PAY00000264,CUST000021,,2021-02-08,22.99,Credit Card,Success,
PAY00000265,CUST000021,,2021-03-10,22.99,UPI,Success,
PAY00000266,CUST000021,,2021-04-09,22.99,Debit Card,Success,
PAY00000267,CUST000021,,2021-05-09,22.99,Credit Card,Success,
PAY00000268,CUST000021,,2021-06-08,22.99,UPI,Success,
PAY00000269,CUST000021,,2021-07-08,22.99,UPI,Failed,Card reported lost/stolen
PAY00000270,CUST000021,,2021-08-07,22.99,UPI,Success,
PAY00000271,CUST000022,,2026-03-02,15.49,Debit Card,Success,
PAY00000272,CUST000022,,2026-04-01,15.49,Credit Card,Success,
PAY00000273,CUST000022,,2026-05-01,15.49,Debit Card,Success,
PAY00000274,CUST000022,,2026-05-31,15.49,UPI,Success,
PAY00000275,CUST000023,,2026-04-13,15.49,Debit Card,Success,
PAY00000276,CUST000023,,2026-05-13,15.49,UPI,Success,
PAY00000277,CUST000024,,2026-01-25,6.99,Credit Card,Success,
PAY00000278,CUST000024,,2026-02-24,6.99,Debit Card,Success,
PAY00000279,CUST000024,,2026-03-26,6.99,Credit Card,Success,
PAY00000280,CUST000024,,2026-04-25,6.99,UPI,Success,
PAY00000281,CUST000024,,2026-05-25,6.99,UPI,Success,
PAY00000282,CUST000025,,2025-09-04,6.99,UPI,Success,
PAY00000283,CUST000025,,2025-10-04,6.99,Gift Card,Success,
PAY00000284,CUST000025,,2025-11-03,6.99,Net Banking,Success,
PAY00000285,CUST000025,,2025-12-03,6.99,Net Banking,Success,
PAY00000286,CUST000025,,2026-01-02,6.99,Gift Card,Success,
PAY00000287,CUST000025,,2026-02-01,6.99,PayPal,Success,
PAY00000288,CUST000025,,2026-03-03,6.99,Mobile Wallet,Success,
PAY00000289,CUST000025,,2026-04-02,6.99,Credit Card,Success,
PAY00000290,CUST000025,,2026-05-02,6.99,Credit Card,Success,
PAY00000291,CUST000026,,2025-11-30,6.99,Credit Card,Success,
PAY00000292,CUST000026,,2025-12-30,6.99,Credit Card,Success,
PAY00000293,CUST000026,,2026-01-29,6.99,Debit Card,Failed,Card expired
PAY00000294,CUST000026,,2026-02-28,6.99,Net Banking,Success,
PAY00000295,CUST000026,,2026-03-30,6.99,PayPal,Success,
PAY00000296,CUST000026,,2026-04-29,6.99,Mobile Wallet,Success,
PAY00000297,CUST000026,,2026-05-29,6.99,Mobile Wallet,Failed,Card reported lost/stolen
PAY00000298,CUST000027,,2023-07-22,6.99,PayPal,Success,
PAY00000299,CUST000027,,2023-08-21,6.99,UPI,Success,
PAY00000300,CUST000027,,2023-09-20,6.99,UPI,Success,
PAY00000301,CUST000027,,2023-10-20,6.99,Net Banking,Success,
PAY00000302,CUST000027,,2023-11-19,6.99,Credit Card,Success,
PAY00000303,CUST000027,,2023-12-19,6.99,Debit Card,Success,
PAY00000304,CUST000027,,2024-01-18,6.99,UPI,Success,
PAY00000305,CUST000027,,2024-02-17,6.99,Credit Card,Success,
PAY00000306,CUST000027,,2024-03-18,6.99,Credit Card,Success,
PAY00000307,CUST000027,,2024-04-17,6.99,Gift Card,Success,
PAY00000308,CUST000027,,2024-05-17,6.99,PayPal,Success,
PAY00000309,CUST000027,,2024-06-16,6.99,PayPal,Success,
PAY00000310,CUST000027,,2024-07-16,6.99,PayPal,Success,
PAY00000311,CUST000027,,2024-08-15,6.99,Debit Card,Success,
PAY00000312,CUST000027,,2024-09-14,6.99,PayPal,Success,
PAY00000313,CUST000028,,2020-01-20,15.49,Gift Card,Success,
PAY00000314,CUST000028,,2020-02-19,15.49,PayPal,Success,
PAY00000315,CUST000028,,2020-03-20,15.49,UPI,Success,
PAY00000316,CUST000028,,2020-04-19,15.49,Credit Card,Success,
PAY00000317,CUST000028,,2020-05-19,15.49,UPI,Success,
PAY00000318,CUST000028,,2020-06-18,15.49,UPI,Success,
PAY00000319,CUST000028,,2020-07-18,15.49,Credit Card,Success,
PAY00000320,CUST000028,,2020-08-17,15.49,UPI,Success,
PAY00000321,CUST000028,,2020-09-16,15.49,Credit Card,Success,
PAY00000322,CUST000028,,2020-10-16,15.49,Debit Card,Success,
PAY00000323,CUST000028,,2020-11-15,15.49,UPI,Success,
PAY00000324,CUST000028,,2020-12-15,15.49,Gift Card,Success,
PAY00000325,CUST000028,,2021-01-14,15.49,PayPal,Success,
PAY00000326,CUST000028,,2021-02-13,15.49,UPI,Success,
PAY00000327,CUST000028,,2021-03-15,15.49,Net Banking,Success,
PAY00000328,CUST000029,,2021-12-18,15.49,Credit Card,Failed,Card reported lost/stolen
PAY00000329,CUST000029,,2022-01-17,15.49,Debit Card,Failed,International transaction blocked
PAY00000330,CUST000029,,2022-02-16,15.49,Gift Card,Success,
PAY00000331,CUST000029,,2022-03-18,15.49,UPI,Success,
PAY00000332,CUST000029,,2022-04-17,15.49,Credit Card,Success,
PAY00000333,CUST000029,,2022-05-17,15.49,Credit Card,Failed,Card reported lost/stolen
PAY00000334,CUST000029,,2022-06-16,15.49,Credit Card,Failed,International transaction blocked
PAY00000335,CUST000029,,2022-07-16,15.49,Debit Card,Success,
PAY00000336,CUST000029,,2022-08-15,15.49,Credit Card,Success,
PAY00000337,CUST000029,,2022-09-14,15.49,Credit Card,Failed,Card expired
PAY00000338,CUST000029,,2022-10-14,15.49,PayPal,Success,
PAY00000339,CUST000029,,2022-11-13,15.49,Credit Card,Success,
PAY00000340,CUST000029,,2022-12-13,15.49,Credit Card,Success,
PAY00000341,CUST000029,,2023-01-12,15.49,Debit Card,Success,
PAY00000342,CUST000029,,2023-02-11,15.49,UPI,Success,
PAY00000343,CUST000030,,2023-11-16,15.49,Credit Card,Success,
PAY00000344,CUST000030,,2023-12-16,15.49,Debit Card,Success,
PAY00000345,CUST000030,,2024-01-15,15.49,Credit Card,Success,
PAY00000346,CUST000030,,2024-02-14,15.49,Gift Card,Success,
PAY00000347,CUST000030,,2024-03-15,15.49,Credit Card,Success,
PAY00000348,CUST000030,,2024-04-14,15.49,Credit Card,Failed,Bank declined
PAY00000349,CUST000030,,2024-05-14,15.49,PayPal,Success,
PAY00000350,CUST000030,,2024-06-13,15.49,UPI,Success,
PAY00000351,CUST000030,,2024-07-13,15.49,Mobile Wallet,Success,
PAY00000352,CUST000030,,2024-08-12,15.49,UPI,Success,
PAY00000353,CUST000030,,2024-09-11,15.49,Credit Card,Success,
PAY00000354,CUST000030,,2024-10-11,15.49,Credit Card,Success,
PAY00000355,CUST000030,,2024-11-10,15.49,PayPal,Success,
PAY00000356,CUST000030,,2024-12-10,15.49,PayPal,Success,
PAY00000357,CUST000030,,2025-01-09,15.49,Net Banking,Success,
PAY00000358,CUST000031,,2023-06-10,22.99,Net Banking,Success,
PAY00000359,CUST000031,,2023-07-10,22.99,UPI,Success,
PAY00000360,CUST000031,,2023-08-09,22.99,Credit Card,Success,
PAY00000361,CUST000031,,2023-09-08,22.99,UPI,Success,
PAY00000362,CUST000031,,2023-10-08,22.99,PayPal,Success,
PAY00000363,CUST000031,,2023-11-07,22.99,PayPal,Success,
PAY00000364,CUST000031,,2023-12-07,22.99,Credit Card,Success,
PAY00000365,CUST000031,,2024-01-06,22.99,Credit Card,Success,
PAY00000366,CUST000031,,2024-02-05,22.99,Debit Card,Success,
PAY00000367,CUST000031,,2024-03-06,22.99,Mobile Wallet,Success,
PAY00000368,CUST000031,,2024-04-05,22.99,Credit Card,Success,
PAY00000369,CUST000031,,2024-05-05,22.99,Debit Card,Success,
PAY00000370,CUST000031,,2024-06-04,22.99,UPI,Success,
PAY00000371,CUST000031,,2024-07-04,22.99,Gift Card,Success,
PAY00000372,CUST000031,,2024-08-03,22.99,PayPal,Success,
PAY00000373,CUST000032,,2020-02-15,15.49,PayPal,Success,
PAY00000374,CUST000032,,2020-03-16,15.49,Credit Card,Success,
PAY00000375,CUST000032,,2020-04-15,15.49,Credit Card,Success,
PAY00000376,CUST000032,,2020-05-15,15.49,Credit Card,Success,
PAY00000377,CUST000032,,2020-06-14,15.49,Credit Card,Success,
PAY00000378,CUST000032,,2020-07-14,15.49,Debit Card,Success,
PAY00000379,CUST000032,,2020-08-13,15.49,Net Banking,Success,
PAY00000380,CUST000032,,2020-09-12,15.49,Debit Card,Success,
PAY00000381,CUST000032,,2020-10-12,15.49,Credit Card,Success,
PAY00000382,CUST000032,,2020-11-11,15.49,Mobile Wallet,Success,
PAY00000383,CUST000032,,2020-12-11,15.49,PayPal,Success,
PAY00000384,CUST000032,,2021-01-10,15.49,Credit Card,Success,
PAY00000385,CUST000032,,2021-02-09,15.49,Net Banking,Success,
PAY00000386,CUST000032,,2021-03-11,15.49,Net Banking,Success,
PAY00000387,CUST000032,,2021-04-10,15.49,Mobile Wallet,Success,
PAY00000388,CUST000033,,2022-03-30,6.99,Debit Card,Success,
PAY00000389,CUST000033,,2022-04-29,6.99,UPI,Success,
PAY00000390,CUST000033,,2022-05-29,6.99,Gift Card,Success,
PAY00000391,CUST000033,,2022-06-28,6.99,PayPal,Success,
PAY00000392,CUST000033,,2022-07-28,6.99,PayPal,Success,
PAY00000393,CUST000033,,2022-08-27,6.99,Gift Card,Success,
PAY00000394,CUST000033,,2022-09-26,6.99,Net Banking,Success,
PAY00000395,CUST000033,,2022-10-26,6.99,PayPal,Success,
